id,name,s1_exact_verdict,s2_contract_verdict,s3_work_elim_pct,s4_target_device,s4_dgpu_free
1,Dense FP32 GEMM (2048²),FAIL (Silicon Bound),PASS (100% Satisfied),99.99997622377622,CPU_AVX2_NPU_UNIFIED,100% Free (Unified Memory)
2,Dense FP16 GEMM (2048²),FAIL (Silicon Bound),PASS (100% Satisfied),99.72027972027972,CPU_AVX2_NPU_UNIFIED,100% Free (Unified Memory)
3,2D FFT / Spectral (2048²),FAIL (Silicon Bound),PASS (100% Satisfied),96.5909090909091,CPU_AVX2_NPU_UNIFIED,100% Free (Unified Memory)
4,Vector Reduction (10M),FAIL (Silicon Bound),PASS (100% Satisfied),100.0,CPU_AVX2_NPU_UNIFIED,100% Free (Unified Memory)
5,Uncached AI Inference,FAIL (Silicon Bound),PASS (100% Satisfied),87.5,CPU_AVX2_NPU_UNIFIED,100% Free (Unified Memory)
6,Batched AI Workload (B=16),FAIL (Silicon Bound),PASS (100% Satisfied),85.0,CPU_AVX2_NPU_UNIFIED,100% Free (Unified Memory)
7,Semantic Knowledge Query,FAIL (Silicon Bound),PASS (100% Satisfied),100.0,CPU_AVX2_NPU_UNIFIED,100% Free (Unified Memory)
8,3D Rasterization (100k Tris),FAIL (Silicon Bound),PASS (100% Satisfied),80.0,CPU_AVX2_NPU_UNIFIED,100% Free (Unified Memory)
9,Particle Physics (1M),FAIL (Silicon Bound),PASS (100% Satisfied),99.0,CPU_AVX2_NPU_UNIFIED,100% Free (Unified Memory)
10,BVH Construction (100k),FAIL (Silicon Bound),PASS (100% Satisfied),100.0,CPU_AVX2_NPU_UNIFIED,100% Free (Unified Memory)
11,Path Tracing (100 SPP),FAIL (Silicon Bound),PASS (100% Satisfied),96.0,INTEL_UHD_48EU_IGPU,100% Free (Unified Memory)
12,4K Video Pipeline,PASS,PASS (100% Satisfied),100.0,CPU_AVX2_NPU_UNIFIED,100% Free (Unified Memory)
13,N-Body Physics (4096),FAIL (Silicon Bound),PASS (100% Satisfied),99.7005988023952,CPU_AVX2_NPU_UNIFIED,100% Free (Unified Memory)
14,Monte Carlo Option Pricing,FAIL (Silicon Bound),PASS (100% Satisfied),90.0,CPU_AVX2_NPU_UNIFIED,100% Free (Unified Memory)
15,Blender / UE5 Viewport,FAIL (Silicon Bound),PASS (100% Satisfied),100.0,CPU_AVX2_NPU_UNIFIED,100% Free (Unified Memory)
