workload,trial_idx,ref_us,cand_us
bilinear_matmul_2x2,0,34.3001,9.0001
bilinear_matmul_2x2,1,12.1000,9.0001
bilinear_matmul_2x2,2,6.9998,6.8999
bilinear_matmul_2x2,3,5.9002,6.2000
bilinear_matmul_2x2,4,6.8999,7.2001
bilinear_matmul_2x2,5,6.2000,6.2000
bilinear_matmul_2x2,6,5.8000,6.0999
bilinear_matmul_2x2,7,6.8999,6.1002
bilinear_matmul_2x2,8,5.6000,6.1002
bilinear_matmul_2x2,9,5.8000,6.2000
bilinear_matmul_2x2,10,5.8000,6.1002
bilinear_matmul_2x2,11,7.0001,6.8999
bilinear_matmul_2x2,12,5.8999,6.0000
bilinear_matmul_2x2,13,5.6999,6.0000
bilinear_matmul_2x2,14,6.0999,6.2000
bilinear_matmul_2x2,15,7.1998,6.0000
bilinear_matmul_2x2,16,6.8999,6.1998
bilinear_matmul_2x2,17,6.6001,6.1002
bilinear_matmul_2x2,18,8.0999,6.0999
bilinear_matmul_2x2,19,4.6999,6.1002
bilinear_matmul_2x2,20,4.1998,6.0999
bilinear_matmul_2x2,21,4.2000,6.0999
bilinear_matmul_2x2,22,4.2000,6.0999
bilinear_matmul_2x2,23,4.2000,6.2999
bilinear_matmul_2x2,24,4.1998,6.1002
bilinear_matmul_2x2,25,4.0999,6.0999
bilinear_matmul_2x2,26,4.6000,6.8001
bilinear_matmul_2x2,27,4.0999,6.0000
bilinear_matmul_2x2,28,4.0999,6.0999
bilinear_matmul_2x2,29,4.0000,6.0000
bilinear_matmul_2x2,30,4.1001,6.0999
bilinear_matmul_2x2,31,4.0999,6.0999
bilinear_matmul_2x2,32,4.2000,6.0000
bilinear_matmul_2x2,33,4.0000,6.4000
bilinear_matmul_2x2,34,4.0999,21.1000
bilinear_matmul_2x2,35,4.3001,6.1998
bilinear_matmul_2x2,36,4.1001,6.0999
bilinear_matmul_2x2,37,4.2000,6.0999
bilinear_matmul_2x2,38,4.0999,6.0000
bilinear_matmul_2x2,39,4.0999,6.2000
bilinear_matmul_2x2,40,4.0999,6.0999
bilinear_matmul_2x2,41,4.1998,6.2000
bilinear_matmul_2x2,42,4.1001,6.2000
bilinear_matmul_2x2,43,4.0999,6.2000
bilinear_matmul_2x2,44,4.1001,6.0000
bilinear_matmul_2x2,45,4.0999,6.1998
bilinear_matmul_2x2,46,4.1001,6.0999
bilinear_matmul_2x2,47,4.2000,6.0000
bilinear_matmul_2x2,48,4.0999,6.2000
bilinear_matmul_2x2,49,4.1001,6.1002
bilinear_matmul_2x2,50,4.0999,6.0999
bilinear_matmul_2x2,51,4.0999,6.0000
bilinear_matmul_2x2,52,4.0000,6.2000
bilinear_matmul_2x2,53,4.0000,6.2000
bilinear_matmul_2x2,54,4.0000,6.2000
bilinear_matmul_2x2,55,4.0000,6.1998
bilinear_matmul_2x2,56,3.9998,6.1002
bilinear_matmul_2x2,57,4.4999,6.6999
bilinear_matmul_2x2,58,4.0000,6.0000
bilinear_matmul_2x2,59,4.0000,6.0000
bilinear_matmul_2x2,60,4.1001,6.2000
bilinear_matmul_2x2,61,4.0999,6.0000
bilinear_matmul_2x2,62,4.0999,6.0999
bilinear_matmul_2x2,63,3.9998,6.1002
bilinear_matmul_2x2,64,4.0000,6.0999
bilinear_matmul_2x2,65,4.3001,6.0999
bilinear_matmul_2x2,66,5.0999,6.2000
bilinear_matmul_2x2,67,4.4000,6.1998
bilinear_matmul_2x2,68,4.7002,6.2000
bilinear_matmul_2x2,69,4.4999,6.2000
bilinear_matmul_2x2,70,4.6000,6.0999
bilinear_matmul_2x2,71,4.2000,6.4999
bilinear_matmul_2x2,72,4.3001,6.2000
bilinear_matmul_2x2,73,4.2000,6.2000
bilinear_matmul_2x2,74,6.4000,5.9998
bilinear_matmul_2x2,75,6.8001,6.0000
bilinear_matmul_2x2,76,7.4001,6.2999
bilinear_matmul_2x2,77,7.8999,6.2000
bilinear_matmul_2x2,78,4.4999,6.0999
bilinear_matmul_2x2,79,4.2000,6.0000
bilinear_matmul_2x2,80,4.0999,6.0000
bilinear_matmul_2x2,81,4.2000,6.2000
bilinear_matmul_2x2,82,4.2999,6.0999
bilinear_matmul_2x2,83,3.9998,6.0000
bilinear_matmul_2x2,84,4.0000,6.0999
bilinear_matmul_2x2,85,4.0000,6.4999
bilinear_matmul_2x2,86,4.0000,6.0999
bilinear_matmul_2x2,87,3.9998,6.0000
bilinear_matmul_2x2,88,4.0000,6.0999
bilinear_matmul_2x2,89,4.2000,6.1002
bilinear_matmul_2x2,90,4.1001,6.1002
bilinear_matmul_2x2,91,4.2000,5.9998
bilinear_matmul_2x2,92,4.0000,6.2999
bilinear_matmul_2x2,93,4.1001,6.0999
bilinear_matmul_2x2,94,4.0999,6.2000
bilinear_matmul_2x2,95,4.2000,6.0000
bilinear_matmul_2x2,96,4.3001,6.0000
bilinear_matmul_2x2,97,4.0000,6.0000
bilinear_matmul_2x2,98,4.0999,6.0999
bilinear_matmul_2x2,99,4.0000,6.1002
